,vin,km
0,MB1CTCHD2JPGC2824,138162.0
1,MB1KACHD1JPCD8535,96355.0
2,MB1KACHD2JEAB6825,20890.5
3,MB1KACHD3JAGH6461,53312.0
4,MB1KACHD3JPGC1778,14284.1
5,MB1KACHD3KPHH2993,32785.6
6,MB1KACHD4JPYF4291,53422.4
7,MB1KACHD5JPED1481,65767.5
8,MB1KACHD5JPWG5083,61805.7
9,MB1KACHD5JPXF9416,46904.9
10,MB1KACHD5JRXZ8094,45157.4
11,MB1KACHD6JEDA7439,20485.9
12,MB1KACHD6JPHB6044,85349.1
13,MB1KACHD7JAYJ5086,4127.5
14,MB1KACHD7KPJG5914,16195.9
15,MB1KAKHD9JPEC9937,63302.3
16,MB1NACHD1JPHB4618,78315.4
17,MB1NACHD3JRHV9259,103387.9
18,MB1NACHD5JAHH4551,103432.5
19,MB1NACHD5JPHB4220,156057.3
20,MB1NACHD8JAFH7129,70681.6
21,MB1NACHD9JPHB6441,131806.3
22,MB1NACHDXJRHV9694,143861.4
23,MB1TRCHD0JREX1473,51737.7
24,MB1TRKHD0JPCD9599,69005.1
25,MB1TRKHD1JPXF5712,39168.4
26,MB1TRKHD2JPED0974,53478.9
27,MB1TRKHD3JPXF8501,31727.6
28,MB1TRKHD4JPAE8428,45908.5
29,MB1TRKHD4JPDD5817,65811.5
30,MB1TRKHD4JRYZ3852,33744.1
31,MB1TRKHD6JPDD4958,63748.5
32,MB1TRKHD7JPYF1571,57636.9
33,MB1TRKHDXJPCD8878,54131.0
34,MB1UPKHD1JPYF2094,126590.8
35,MB1UPKHD3JPDD3521,72498.3
36,MB1UPKHD6JPAE5993,50255.5
37,MB1UPKHD9JPBE3299,42952.8
38,MB1UPKHD9JPDD7217,85484.4
39,MB1UPKHDXJPXF7789,38317.9
